ven_d,model_d,tac_d
alcatel,snap 4g 7030r,86022902
nokia,n950,35788104
freetel,samurai kiwami dual ftj152c,35528007
samsung,galaxy tab 101 lte docomo sc01d,35805804
coolpad,8028,86499801
micromax,x337,91134790
lg,tribute 5 ls6751,35350408
lenovo,moto g6 play dual xt192202,35186109
sony,xperia z3 d6643,35571006
jinga,simple f100,35541108
jinga,simple f100,35481707
prestigio,multiphone 4055 duo,35838405
xiaomi,redmi note 1w,86562302
fly,power plus 2 fs526,35337009
karbonn,a90,91134275
zte,v870,86478103
fly,era nano 8 iq4400 iris,35636306
huawei,honor 7s dual dual22,86817103
xiaomi,mi4i 2015015,86813902
huawei,e5771h937,86967902
wiko global sasu,wiko highway signs,35541806
leagoo,kiicaa power,35195609
lg,k8 2017 us cellular us215,35423208
senseit,p101,35871506
sony,xperia t 4g lt30a,35383505
blu,vivo selfie,35339907
asus,zenfone 2 laser 55 ze550kl z00ld5,35805907
alcatel,pixi 4 55 5048u,35169408
asus,zenfone 3 ze552kl z012db,35706107
huawei,honor y6 honor 4a scltl00h2,86722102
samsung,schi919,35830804
samsung,schi919,35232805
wiko,selfy,35159807
htc,one v pl11110,35606505
alcatel,995 cocktail,86111701
samsung,galaxy s4 4g sghi337z,35801005
huawei,p9 a168l29,86982502
xolo,win q1000,91139905
lenovo,ideatab s2005 lepad s2005,86169901
philips,xenium w8555 multiple xenium w3390 w3568,86281302
sony,xperia zr c5502,35660305
zte,blade v plus v580,86892002
blu,studio 60 lte,35590706
samsung,galaxy core lite lte smg3586v1,35422106
allview,v2 viper xe,35451108
beetel,gd412,91111340
micromax,x699,91144980
prestigio,muze a5 psp5502duo,35911207
homtom,ht70,35768709
intex,aqua genx,91147190
panasonic,eluga i3 mega,35897608
lava,flair e2,91146780
karbonn,fashion eye,91151880
huawei,e392u6,86946900
phoenix,smart s3,35422905
nokia,51 dual ta1076,35338809
xiaomi,redmi note 7 pro m1901f7be,86578704
huawei,honor 8c bkktl00,86832504
alcatel,a7 xl dual 7070q,35296408
microsoft,lumia 640 xl rm1066,35716606
spice,virtuoso pro plus mi492,91125650
sony,xperia miro st23a,35438805
huawei,e8372 e8372h927,86685102
micromax,canvas 3d a115,91130260
pantech,sky vega 4g m ima810s,35913304
micromax,x2400,91139480
huawei,b593 b593s601,86694301
samsung,galaxy s gts7562c,35291106
huawei,nova lite 3 potl62j,86734204
htc,one m8 0p6b650,35244206
asus,zenfone 3 ze552kl z012da,35693907
oppo,neo 5 20152,86015903
karbonn,a1 plus champ,91149655
alcatel,3l 5039u,35331810
general mobile,gm 5,35464808
intex,aqua n15,91138340
huawei,p9 lite 2017 pralx3,86316603
intex,aqua desire hd,91143970
lenovo,yoga tab 3 pro 101 tdlte yt3x90l,86723202
samsung,galaxy express 2 smg3815,35826705
alcatel,pixi 3 40 ot4013e,35701806
huawei,p30 elel09,86816104
samsung,galaxy j3 lte smj320a2,35741707
huawei,mate 8 nxtal10b2,86048203
coolpad,8710,86390501
coolpad,note 5 3600i,91153325
panasonic,eluga pure,35725008
huawei,e3131 e3131i81,86439302
huawei,e5336bs6,86454102
htc,one pm86200,35600105
huawei,honor 9 lite lldal10c,86867103
huawei,ascend y220 y220u17,86841901
panasonic,p100,35498309
zte,blade g v880g,86022000
doov,t60,86491502
samsung,galaxy s4 4g sghs970g,35819605
zte,mf90g,86829602
samsung,galaxy mini galaxy pop gts5578,35844704
lg,g4 stylus h635a,35276607
intex,aqua pride,91151735
lava,iris 501,91125305
xiaomi,redmi 2a pro 20145121,86843302
yu,yureka plus yu5510,91144105
samsung,galaxy tab s2 80 ltea smt717,35220407
gigabyte,gsmart mika m3,35684306
xiaomi,mi max 2 mdi40,86518403
samsung,galaxy note 5 tdlte smn920s1,35868507
alcatel,u5 dual 5044u,35449108
sony,xperia tablet z 4g so03e sgp321,35712305
elephone,m3,35789307
iball,andi4g arc2,91144555
philips,e320,86920102
